Time,EAST ZONE::Des Heat Load [W],EAST ZONE:NEW YORK J F KENNEDY INTL AR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],EAST ZONE::Des Heat Mass Flow [kg/s],EAST ZONE:NEW YORK J F KENNEDY INTL AR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],WEST ZONE::Des Heat Load [W],WEST ZONE:NEW YORK J F KENNEDY INTL AR ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WEST ZONE::Des Heat Mass Flow [kg/s],WEST ZONE:NEW YORK J F KENNEDY INTL AR ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,5.350637E+04,0.000000E+00,4.376661E+00,0.000000E+00,4.808455E+04,0.000000E+00,3.933173E+00
00:30:00,0.000000E+00,5.348487E+04,0.000000E+00,4.374903E+00,0.000000E+00,4.806661E+04,0.000000E+00,3.931705E+00
00:45:00,0.000000E+00,5.346336E+04,0.000000E+00,4.373143E+00,0.000000E+00,4.804797E+04,0.000000E+00,3.930180E+00
01:00:00,0.000000E+00,5.344190E+04,0.000000E+00,4.371387E+00,0.000000E+00,4.802849E+04,0.000000E+00,3.928587E+00
01:15:00,0.000000E+00,5.342061E+04,0.000000E+00,4.369647E+00,0.000000E+00,4.800855E+04,0.000000E+00,3.926956E+00
01:30:00,0.000000E+00,5.339958E+04,0.000000E+00,4.367926E+00,0.000000E+00,4.798858E+04,0.000000E+00,3.925323E+00
01:45:00,0.000000E+00,5.337885E+04,0.000000E+00,4.366231E+00,0.000000E+00,4.796867E+04,0.000000E+00,3.923694E+00
02:00:00,0.000000E+00,5.335854E+04,0.000000E+00,4.364569E+00,0.000000E+00,4.794898E+04,0.000000E+00,3.922083E+00
02:15:00,0.000000E+00,5.333857E+04,0.000000E+00,4.362936E+00,0.000000E+00,4.792950E+04,0.000000E+00,3.920490E+00
02:30:00,0.000000E+00,5.331893E+04,0.000000E+00,4.361329E+00,0.000000E+00,4.791021E+04,0.000000E+00,3.918912E+00
02:45:00,0.000000E+00,5.329959E+04,0.000000E+00,4.359747E+00,0.000000E+00,4.789113E+04,0.000000E+00,3.917351E+00
03:00:00,0.000000E+00,5.328048E+04,0.000000E+00,4.358184E+00,0.000000E+00,4.787220E+04,0.000000E+00,3.915803E+00
03:15:00,0.000000E+00,5.326155E+04,0.000000E+00,4.356636E+00,0.000000E+00,4.785339E+04,0.000000E+00,3.914264E+00
03:30:00,0.000000E+00,5.324279E+04,0.000000E+00,4.355101E+00,0.000000E+00,4.783469E+04,0.000000E+00,3.912735E+00
03:45:00,0.000000E+00,5.322421E+04,0.000000E+00,4.353581E+00,0.000000E+00,4.781613E+04,0.000000E+00,3.911216E+00
04:00:00,0.000000E+00,5.320581E+04,0.000000E+00,4.352076E+00,0.000000E+00,4.779771E+04,0.000000E+00,3.909710E+00
04:15:00,0.000000E+00,5.318769E+04,0.000000E+00,4.350594E+00,0.000000E+00,4.777951E+04,0.000000E+00,3.908221E+00
04:30:00,0.000000E+00,5.316991E+04,0.000000E+00,4.349140E+00,0.000000E+00,4.776160E+04,0.000000E+00,3.906756E+00
04:45:00,0.000000E+00,5.315256E+04,0.000000E+00,4.347721E+00,0.000000E+00,4.774398E+04,0.000000E+00,3.905315E+00
05:00:00,0.000000E+00,5.313897E+04,0.000000E+00,4.346609E+00,0.000000E+00,4.772966E+04,0.000000E+00,3.904144E+00
05:15:00,0.000000E+00,5.313136E+04,0.000000E+00,4.345987E+00,0.000000E+00,4.772061E+04,0.000000E+00,3.903404E+00
05:30:00,0.000000E+00,5.313169E+04,0.000000E+00,4.346013E+00,0.000000E+00,4.771856E+04,0.000000E+00,3.903236E+00
05:45:00,0.000000E+00,5.314171E+04,0.000000E+00,4.346833E+00,0.000000E+00,4.772509E+04,0.000000E+00,3.903770E+00
06:00:00,0.000000E+00,5.315979E+04,0.000000E+00,4.348312E+00,0.000000E+00,4.773860E+04,0.000000E+00,3.904875E+00
06:15:00,0.000000E+00,5.319374E+04,0.000000E+00,4.351089E+00,0.000000E+00,4.777164E+04,0.000000E+00,3.907578E+00
06:30:00,0.000000E+00,5.323387E+04,0.000000E+00,4.354372E+00,0.000000E+00,4.780925E+04,0.000000E+00,3.910654E+00
06:45:00,0.000000E+00,5.327717E+04,0.000000E+00,4.357917E+00,0.000000E+00,4.784748E+04,0.000000E+00,3.913786E+00
07:00:00,0.000000E+00,5.332023E+04,0.000000E+00,4.361445E+00,0.000000E+00,4.788873E+04,0.000000E+00,3.917171E+00
07:15:00,0.000000E+00,5.339154E+04,0.000000E+00,4.367287E+00,0.000000E+00,4.797319E+04,0.000000E+00,3.924093E+00
07:30:00,0.000000E+00,5.346774E+04,0.000000E+00,4.373531E+00,0.000000E+00,4.806409E+04,0.000000E+00,3.931545E+00
07:45:00,0.000000E+00,5.355044E+04,0.000000E+00,4.380316E+00,0.000000E+00,4.816347E+04,0.000000E+00,3.939706E+00
08:00:00,0.000000E+00,5.364232E+04,0.000000E+00,4.387862E+00,0.000000E+00,4.826791E+04,0.000000E+00,3.948298E+00
08:15:00,0.000000E+00,5.374826E+04,0.000000E+00,4.396567E+00,0.000000E+00,4.839015E+04,0.000000E+00,3.958358E+00
08:30:00,0.000000E+00,5.385889E+04,0.000000E+00,4.405659E+00,0.000000E+00,4.851584E+04,0.000000E+00,3.968705E+00
08:45:00,0.000000E+00,5.397313E+04,0.000000E+00,4.415050E+00,0.000000E+00,4.864379E+04,0.000000E+00,3.979245E+00
09:00:00,0.000000E+00,5.408997E+04,0.000000E+00,4.424659E+00,0.000000E+00,4.877312E+04,0.000000E+00,3.989905E+00
09:15:00,0.000000E+00,5.418494E+04,0.000000E+00,4.432482E+00,0.000000E+00,4.885499E+04,0.000000E+00,3.996688E+00
09:30:00,0.000000E+00,5.428316E+04,0.000000E+00,4.440572E+00,0.000000E+00,4.893786E+04,0.000000E+00,4.003555E+00
09:45:00,0.000000E+00,5.438176E+04,0.000000E+00,4.448679E+00,0.000000E+00,4.902275E+04,0.000000E+00,4.010564E+00
10:00:00,0.000000E+00,5.448434E+04,0.000000E+00,4.457095E+00,0.000000E+00,4.910990E+04,0.000000E+00,4.017730E+00
10:15:00,0.000000E+00,5.457153E+04,0.000000E+00,4.464239E+00,0.000000E+00,4.918074E+04,0.000000E+00,4.023542E+00
10:30:00,0.000000E+00,5.465696E+04,0.000000E+00,4.471231E+00,0.000000E+00,4.924922E+04,0.000000E+00,4.029148E+00
10:45:00,0.000000E+00,5.474289E+04,0.000000E+00,4.478261E+00,0.000000E+00,4.931456E+04,0.000000E+00,4.034492E+00
11:00:00,0.000000E+00,5.482475E+04,0.000000E+00,4.484954E+00,0.000000E+00,4.937599E+04,0.000000E+00,4.039514E+00
11:15:00,0.000000E+00,5.490258E+04,0.000000E+00,4.491316E+00,0.000000E+00,4.943329E+04,0.000000E+00,4.044196E+00
11:30:00,0.000000E+00,5.497580E+04,0.000000E+00,4.497302E+00,0.000000E+00,4.948625E+04,0.000000E+00,4.048524E+00
11:45:00,0.000000E+00,5.504413E+04,0.000000E+00,4.502888E+00,0.000000E+00,4.953485E+04,0.000000E+00,4.052496E+00
12:00:00,0.000000E+00,5.510716E+04,0.000000E+00,4.508041E+00,0.000000E+00,4.957896E+04,0.000000E+00,4.056100E+00
12:15:00,0.000000E+00,5.511849E+04,0.000000E+00,4.508964E+00,0.000000E+00,4.954757E+04,0.000000E+00,4.053528E+00
12:30:00,0.000000E+00,5.512125E+04,0.000000E+00,4.509188E+00,0.000000E+00,4.950771E+04,0.000000E+00,4.050264E+00
12:45:00,0.000000E+00,5.511678E+04,0.000000E+00,4.508805E+00,0.000000E+00,4.946151E+04,0.000000E+00,4.046457E+00
13:00:00,0.000000E+00,5.510523E+04,0.000000E+00,4.507826E+00,0.000000E+00,4.940943E+04,0.000000E+00,4.042144E+00
13:15:00,0.000000E+00,5.517146E+04,0.000000E+00,4.513200E+00,0.000000E+00,4.948628E+04,0.000000E+00,4.048363E+00
13:30:00,0.000000E+00,5.523421E+04,0.000000E+00,4.518285E+00,0.000000E+00,4.956363E+04,0.000000E+00,4.054615E+00
13:45:00,0.000000E+00,5.529140E+04,0.000000E+00,4.522943E+00,0.000000E+00,4.963826E+04,0.000000E+00,4.060689E+00
14:00:00,0.000000E+00,5.534268E+04,0.000000E+00,4.527150E+00,0.000000E+00,4.970964E+04,0.000000E+00,4.066548E+00
14:15:00,0.000000E+00,5.535040E+04,0.000000E+00,4.527814E+00,0.000000E+00,4.971516E+04,0.000000E+00,4.067051E+00
14:30:00,0.000000E+00,5.535141E+04,0.000000E+00,4.527938E+00,0.000000E+00,4.971530E+04,0.000000E+00,4.067128E+00
14:45:00,0.000000E+00,5.534606E+04,0.000000E+00,4.527531E+00,0.000000E+00,4.971102E+04,0.000000E+00,4.066826E+00
15:00:00,0.000000E+00,5.533440E+04,0.000000E+00,4.526594E+00,0.000000E+00,4.970246E+04,0.000000E+00,4.066153E+00
15:15:00,0.000000E+00,5.531643E+04,0.000000E+00,4.525133E+00,0.000000E+00,4.968966E+04,0.000000E+00,4.065118E+00
15:30:00,0.000000E+00,5.529216E+04,0.000000E+00,4.523152E+00,0.000000E+00,4.967265E+04,0.000000E+00,4.063734E+00
15:45:00,0.000000E+00,5.526186E+04,0.000000E+00,4.520677E+00,0.000000E+00,4.965167E+04,0.000000E+00,4.062023E+00
16:00:00,0.000000E+00,5.522586E+04,0.000000E+00,4.517734E+00,0.000000E+00,4.962696E+04,0.000000E+00,4.060005E+00
16:15:00,0.000000E+00,5.513848E+04,0.000000E+00,4.510587E+00,0.000000E+00,4.952798E+04,0.000000E+00,4.051910E+00
16:30:00,0.000000E+00,5.504393E+04,0.000000E+00,4.502853E+00,0.000000E+00,4.942244E+04,0.000000E+00,4.043277E+00
16:45:00,0.000000E+00,5.494420E+04,0.000000E+00,4.494681E+00,0.000000E+00,4.931278E+04,0.000000E+00,4.034283E+00
17:00:00,0.000000E+00,5.484019E+04,0.000000E+00,4.486142E+00,0.000000E+00,4.919988E+04,0.000000E+00,4.024998E+00
17:15:00,0.000000E+00,5.471804E+04,0.000000E+00,4.476108E+00,0.000000E+00,4.907509E+04,0.000000E+00,4.014725E+00
17:30:00,0.000000E+00,5.458826E+04,0.000000E+00,4.465446E+00,0.000000E+00,4.894392E+04,0.000000E+00,4.003922E+00
17:45:00,0.000000E+00,5.445435E+04,0.000000E+00,4.454447E+00,0.000000E+00,4.880937E+04,0.000000E+00,3.992844E+00
18:00:00,0.000000E+00,5.431839E+04,0.000000E+00,4.443282E+00,0.000000E+00,4.867329E+04,0.000000E+00,3.981643E+00
18:15:00,0.000000E+00,5.423223E+04,0.000000E+00,4.436191E+00,0.000000E+00,4.860204E+04,0.000000E+00,3.975748E+00
18:30:00,0.000000E+00,5.415609E+04,0.000000E+00,4.429920E+00,0.000000E+00,4.853994E+04,0.000000E+00,3.970602E+00
18:45:00,0.000000E+00,5.408584E+04,0.000000E+00,4.424141E+00,0.000000E+00,4.848310E+04,0.000000E+00,3.965900E+00
19:00:00,0.000000E+00,5.402098E+04,0.000000E+00,4.418812E+00,0.000000E+00,4.843076E+04,0.000000E+00,3.961582E+00
19:15:00,0.000000E+00,5.397042E+04,0.000000E+00,4.414659E+00,0.000000E+00,4.839624E+04,0.000000E+00,3.958730E+00
19:30:00,0.000000E+00,5.392460E+04,0.000000E+00,4.410896E+00,0.000000E+00,4.836654E+04,0.000000E+00,3.956278E+00
19:45:00,0.000000E+00,5.388547E+04,0.000000E+00,4.407685E+00,0.000000E+00,4.834270E+04,0.000000E+00,3.954311E+00
20:00:00,0.000000E+00,5.385270E+04,0.000000E+00,4.404998E+00,0.000000E+00,4.832421E+04,0.000000E+00,3.952789E+00
20:15:00,0.000000E+00,5.382506E+04,0.000000E+00,4.402734E+00,0.000000E+00,4.830982E+04,0.000000E+00,3.951606E+00
20:30:00,0.000000E+00,5.380112E+04,0.000000E+00,4.400774E+00,0.000000E+00,4.829804E+04,0.000000E+00,3.950640E+00
20:45:00,0.000000E+00,5.377932E+04,0.000000E+00,4.398990E+00,0.000000E+00,4.828732E+04,0.000000E+00,3.949761E+00
21:00:00,0.000000E+00,5.375887E+04,0.000000E+00,4.397316E+00,0.000000E+00,4.827682E+04,0.000000E+00,3.948901E+00
21:15:00,0.000000E+00,5.373921E+04,0.000000E+00,4.395707E+00,0.000000E+00,4.826599E+04,0.000000E+00,3.948014E+00
21:30:00,0.000000E+00,5.371997E+04,0.000000E+00,4.394134E+00,0.000000E+00,4.825446E+04,0.000000E+00,3.947072E+00
21:45:00,0.000000E+00,5.370095E+04,0.000000E+00,4.392577E+00,0.000000E+00,4.824209E+04,0.000000E+00,3.946059E+00
22:00:00,0.000000E+00,5.368201E+04,0.000000E+00,4.391028E+00,0.000000E+00,4.822880E+04,0.000000E+00,3.944972E+00
22:15:00,0.000000E+00,5.366321E+04,0.000000E+00,4.389490E+00,0.000000E+00,4.821470E+04,0.000000E+00,3.943818E+00
22:30:00,0.000000E+00,5.364460E+04,0.000000E+00,4.387968E+00,0.000000E+00,4.819990E+04,0.000000E+00,3.942608E+00
22:45:00,0.000000E+00,5.362630E+04,0.000000E+00,4.386471E+00,0.000000E+00,4.818452E+04,0.000000E+00,3.941350E+00
23:00:00,0.000000E+00,5.360801E+04,0.000000E+00,4.384975E+00,0.000000E+00,4.816867E+04,0.000000E+00,3.940054E+00
23:15:00,0.000000E+00,5.358914E+04,0.000000E+00,4.383432E+00,0.000000E+00,4.815239E+04,0.000000E+00,3.938722E+00
23:30:00,0.000000E+00,5.356954E+04,0.000000E+00,4.381828E+00,0.000000E+00,4.813574E+04,0.000000E+00,3.937360E+00
23:45:00,0.000000E+00,5.354901E+04,0.000000E+00,4.380149E+00,0.000000E+00,4.811884E+04,0.000000E+00,3.935977E+00
24:00:00,0.000000E+00,5.352778E+04,0.000000E+00,4.378412E+00,0.000000E+00,4.810184E+04,0.000000E+00,3.934587E+00
Peak,0.000000E+00,5.535141E+04,0.000000E+00,4.527938E+00,0.000000E+00,4.971530E+04,0.000000E+00,4.067128E+00

Peak Vol Flow (m3/s),,,0.000000E+00,3.762011E+00,,,0.000000E+00,3.379150E+00
